ExitSpeed_int,Angle_int,single,double,triple,hr,num_occurrences,wOBAcon
0,0,0,1,0,0,2,0.64706746
1,-21,1,0,0,0,1,1.004777779
2,-33,0,0,0,0,1,0
3,-72,0,0,0,0,1,0
6,-64,0,0,0,0,1,0
6,-28,0,0,0,0,1,0
6,-19,1,0,0,0,1,1.004777779
7,-35,0,0,0,0,1,0
7,-28,0,0,0,0,1,0
7,-27,1,0,0,0,1,1.004777779
7,-10,0,0,0,0,1,0
9,-54,0,0,0,0,1,0
9,-35,0,0,0,0,1,0
9,-33,1,0,0,0,1,1.004777779
9,-20,0,0,0,0,1,0
9,-17,1,0,0,0,1,1.004777779
9,-14,0,0,0,0,1,0
9,-13,0,0,0,0,1,0
10,-48,0,0,0,0,1,0
10,-21,0,0,0,0,1,0
10,-16,0,0,0,0,1,0
10,-11,0,0,0,0,1,0
11,-67,1,0,0,0,1,1.004777779
11,-38,1,0,0,0,1,1.004777779
11,-36,0,0,0,0,1,0
11,-33,1,0,0,0,1,1.004777779
11,-17,1,0,0,0,1,1.004777779
11,-5,1,0,0,0,1,1.004777779
11,15,0,0,0,0,1,0
12,-69,0,0,0,0,1,0
12,-53,0,0,0,0,1,0
12,-41,0,0,0,0,1,0
12,-39,0,0,0,0,1,0
12,-30,0,0,0,0,1,0
12,-24,0,0,0,0,1,0
12,-13,1,0,0,0,2,0.50238889
12,-10,0,0,0,0,1,0
12,-5,0,0,0,0,1,0
12,-3,0,0,0,0,1,0
12,39,1,0,0,0,1,1.004777779
13,-71,0,0,0,0,1,0
13,-50,0,0,0,0,1,0
13,-49,1,0,0,0,2,0.50238889
13,-41,1,0,0,0,1,1.004777779
13,-36,0,0,0,0,1,0
13,-24,0,0,0,0,1,0
13,-20,0,0,0,0,1,0
13,-16,0,0,0,0,2,0
13,-9,1,0,0,0,1,1.004777779
13,-6,0,0,0,0,1,0
13,-4,1,0,0,0,1,1.004777779
13,-2,1,0,0,0,1,1.004777779
13,14,1,0,0,0,1,1.004777779
13,21,0,0,0,0,1,0
14,-49,0,0,0,0,1,0
14,-44,1,0,0,0,1,1.004777779
14,-42,0,0,0,0,1,0
14,-30,0,0,0,0,1,0
14,-25,0,0,0,0,1,0
14,-23,0,0,0,0,1,0
14,-21,0,0,0,0,2,0
14,-14,0,0,0,0,1,0
14,-8,0,0,0,0,1,0
14,-6,1,0,0,0,1,1.004777779
14,-2,0,0,0,0,1,0
15,-77,0,0,0,0,1,0
15,-74,0,0,0,0,1,0
15,-61,0,0,0,0,1,0
15,-53,0,0,0,0,1,0
15,-44,1,0,0,0,1,1.004777779
15,-41,1,0,0,0,1,1.004777779
15,-36,1,0,0,0,2,0.50238889
15,-35,0,0,0,0,1,0
15,-14,0,0,0,0,1,0
15,-13,2,0,0,0,2,1.004777779
15,-12,1,0,0,0,2,0.50238889
15,-11,0,0,0,0,1,0
15,-10,0,0,0,0,1,0
15,-9,0,0,0,0,1,0
15,-6,1,0,0,0,2,0.50238889
15,-5,0,0,0,0,1,0
15,-3,0,0,0,0,1,0
15,-2,1,0,0,0,3,0.334925926
15,-1,0,0,0,0,1,0
15,1,0,0,0,0,2,0
15,11,1,0,0,0,1,1.004777779
15,14,1,0,0,0,1,1.004777779
15,20,0,0,0,0,2,0
15,21,0,0,0,0,1,0
15,23,0,0,0,0,1,0
15,27,0,0,0,0,1,0
15,32,0,0,0,0,1,0
16,-88,0,0,0,0,1,0
16,-84,0,0,0,0,1,0
16,-78,0,0,0,0,1,0
16,-69,0,0,0,0,1,0
16,-67,0,0,0,0,2,0
16,-56,0,0,0,0,1,0
16,-43,0,0,0,0,1,0
16,-40,1,0,0,0,1,1.004777779
16,-38,0,0,0,0,1,0
16,-37,0,0,0,0,1,0
16,-33,0,0,0,0,1,0
16,-25,0,0,0,0,1,0
16,-21,1,0,0,0,1,1.004777779
16,-20,1,0,0,0,2,0.50238889
16,-17,0,0,0,0,2,0
16,-11,0,0,0,0,1,0
16,-9,2,0,0,0,3,0.669851853
16,-6,1,0,0,0,3,0.334925926
16,-4,0,0,0,0,1,0
16,-3,0,0,0,0,1,0
16,-1,0,1,0,0,1,1.29413492
16,4,0,0,0,0,1,0
16,9,0,0,0,0,1,0
16,10,0,0,0,0,2,0
16,11,0,0,0,0,2,0
16,17,0,0,0,0,1,0
16,21,0,0,0,0,1,0
16,25,1,0,0,0,1,1.004777779
16,34,0,0,0,0,1,0
16,43,1,0,0,0,1,1.004777779
17,-73,1,0,0,0,1,1.004777779
17,-68,1,0,0,0,1,1.004777779
17,-65,0,0,0,0,1,0
17,-64,0,0,0,0,1,0
17,-57,1,0,0,0,1,1.004777779
17,-55,0,0,0,0,1,0
17,-50,0,0,0,0,1,0
17,-49,0,0,0,0,1,0
17,-41,0,0,0,0,1,0
17,-35,1,0,0,0,1,1.004777779
17,-31,1,0,0,0,2,0.50238889
17,-30,0,0,0,0,1,0
17,-28,0,0,0,0,1,0
17,-24,0,0,0,0,1,0
17,-23,1,0,0,0,1,1.004777779
17,-21,0,0,0,0,1,0
17,-18,0,0,0,0,1,0
17,-16,0,0,0,0,1,0
17,-13,0,0,0,0,2,0
17,-12,0,0,0,0,1,0
17,-5,2,0,0,0,3,0.669851853
17,-3,0,0,0,0,1,0
17,-1,1,0,0,0,1,1.004777779
17,0,1,0,0,0,1,1.004777779
17,2,0,0,0,0,1,0
17,4,1,0,0,0,2,0.50238889
17,8,1,0,0,0,1,1.004777779
17,9,0,0,0,0,1,0
17,10,0,0,0,0,1,0
17,11,1,0,0,0,2,0.50238889
17,12,0,0,0,0,2,0
17,16,0,0,0,0,1,0
17,17,0,0,0,0,1,0
17,19,0,0,0,0,1,0
17,21,0,0,0,0,1,0
17,22,0,0,0,0,1,0
17,23,1,0,0,0,1,1.004777779
17,24,0,0,0,0,1,0
17,25,0,0,0,0,1,0
17,28,0,0,0,0,1,0
17,30,1,0,0,0,2,0.50238889
17,31,0,0,0,0,1,0
17,32,0,0,0,0,1,0
17,36,0,0,0,0,1,0
17,45,1,0,0,0,1,1.004777779
18,-62,0,0,0,0,1,0
18,-59,1,0,0,0,2,0.50238889
18,-57,0,0,0,0,2,0
18,-55,0,0,0,0,1,0
18,-53,0,0,0,0,1,0
18,-47,0,1,0,0,1,1.29413492
18,-44,0,0,0,0,1,0
18,-41,0,0,0,0,1,0
18,-39,0,0,0,0,1,0
18,-36,1,0,0,0,1,1.004777779
18,-31,1,0,0,0,1,1.004777779
18,-27,0,0,0,0,1,0
18,-26,1,0,0,0,2,0.50238889
18,-25,0,0,0,0,1,0
18,-24,1,0,0,0,2,0.50238889
18,-23,0,0,0,0,1,0
18,-22,0,0,0,0,1,0
18,-21,0,0,0,0,1,0
18,-19,0,0,0,0,2,0
18,-18,0,0,0,0,1,0
18,-16,0,0,0,0,1,0
18,-14,0,0,0,0,1,0
18,-12,1,0,0,0,3,0.334925926
18,-11,0,0,0,0,1,0
18,-10,1,0,0,0,1,1.004777779
18,-9,0,0,0,0,1,0
18,-7,3,0,0,0,3,1.004777779
18,-6,0,0,0,0,1,0
18,-4,1,0,0,0,2,0.50238889
18,-3,1,0,0,0,2,0.50238889
18,-2,1,0,0,0,3,0.334925926
18,0,1,0,0,0,1,1.004777779
18,1,0,0,0,0,2,0
18,5,0,0,0,0,2,0
18,6,0,0,0,0,2,0
18,7,1,0,0,0,2,0.50238889
18,11,3,0,0,0,4,0.753583335
18,16,1,0,0,0,2,0.50238889
18,17,0,0,0,0,2,0
18,18,0,0,0,0,1,0
18,20,2,0,0,0,3,0.669851853
18,21,2,0,0,0,2,1.004777779
18,22,0,0,0,0,2,0
18,28,0,0,0,0,2,0
18,29,0,0,0,0,1,0
18,31,1,0,0,0,1,1.004777779
18,32,0,0,0,0,1,0
18,36,1,0,0,0,1,1.004777779
18,37,1,0,0,0,1,1.004777779
18,38,0,0,0,0,1,0
18,45,0,0,0,0,1,0
18,55,1,0,0,0,1,1.004777779
19,-77,0,0,0,0,1,0
19,-75,0,0,0,0,1,0
19,-69,0,0,0,0,1,0
19,-66,0,0,0,0,1,0
19,-65,0,0,0,0,2,0
19,-64,0,0,0,0,1,0
19,-63,0,0,0,0,1,0
19,-61,0,0,0,0,1,0
19,-59,0,0,0,0,1,0
19,-49,0,0,0,0,1,0
19,-47,1,0,0,0,1,1.004777779
19,-42,1,0,0,0,2,0.50238889
19,-41,0,0,0,0,1,0
19,-39,0,0,0,0,1,0
19,-37,0,0,0,0,1,0
19,-36,1,0,0,0,1,1.004777779
